lat,lon,type
40.499186,-74.175448,3
40.499186,-74.163395,3
40.499186,-74.151341,3
40.499186,-74.139287,3
40.499186,-74.127234,3
40.499186,-74.11518,3
40.499186,-74.066966,3
40.499186,-74.054912,3
40.499186,-73.958483,3
40.499186,-73.94643,3
40.499186,-73.934376,3
40.499186,-73.922323,3
40.499186,-73.910269,3
40.499186,-73.898215,3
40.499186,-73.825894,3
40.499186,-73.801787,3
40.499186,-73.657143,3
40.499186,-73.64509,3
40.499186,-73.633036,3
40.499186,-73.620983,3
40.50875,-74.175448,3
40.50875,-74.163395,3
40.50875,-74.151341,3
40.50875,-74.139287,3
40.50875,-74.103127,3
40.50875,-74.079019,3
40.50875,-74.066966,3
40.50875,-74.054912,3
40.50875,-73.958483,3
40.50875,-73.94643,3
40.50875,-73.934376,3
40.50875,-73.922323,3
40.50875,-73.910269,3
40.50875,-73.898215,3
40.50875,-73.825894,3
40.50875,-73.81384,3
40.50875,-73.669197,3
40.50875,-73.657143,3
40.50875,-73.64509,3
40.50875,-73.633036,3
40.50875,-73.620983,3
40.518314,-74.175448,3
40.518314,-74.163395,3
40.518314,-74.151341,3
40.518314,-74.139287,3
40.518314,-74.11518,3
40.518314,-74.103127,3
40.518314,-74.079019,3
40.518314,-74.066966,3
40.518314,-73.958483,3
40.518314,-73.94643,3
40.518314,-73.934376,3
40.518314,-73.922323,3
40.518314,-73.910269,3
40.518314,-73.898215,3
40.518314,-73.837947,3
40.518314,-73.825894,3
40.518314,-73.81384,3
40.518314,-73.681251,3
40.518314,-73.669197,3
40.518314,-73.657143,3
40.518314,-73.64509,3
40.518314,-73.633036,3
40.518314,-73.620983,3
40.527878,-74.163395,3
40.527878,-74.151341,3
40.527878,-74.139287,3
40.527878,-74.127234,3
40.527878,-74.11518,3
40.527878,-74.103127,3
40.527878,-74.079019,3
40.527878,-74.066966,3
40.527878,-73.94643,3
40.527878,-73.934376,3
40.527878,-73.922323,3
40.527878,-73.910269,3
40.527878,-73.837947,3
40.527878,-73.825894,3
40.527878,-73.81384,3
40.527878,-73.681251,3
40.527878,-73.669197,3
40.527878,-73.657143,3
40.527878,-73.64509,3
40.527878,-73.633036,3
40.527878,-73.620983,3
40.537442,-74.151341,3
40.537442,-74.127234,3
40.537442,-74.11518,3
40.537442,-74.091073,3
40.537442,-74.079019,3
40.537442,-73.94643,3
40.537442,-73.934376,3
40.537442,-73.922323,3
40.537442,-73.910269,3
40.537442,-73.837947,3
40.537442,-73.81384,3
40.537442,-73.693304,3
40.537442,-73.681251,3
40.537442,-73.669197,3
40.537442,-73.657143,3
40.537442,-73.64509,3
40.537442,-73.633036,3
40.537442,-73.620983,3
40.547006,-74.151341,3
40.547006,-74.139287,3
40.547006,-74.127234,3
40.547006,-74.11518,3
40.547006,-74.079019,3
40.547006,-73.934376,3
40.547006,-73.922323,3
40.547006,-73.910269,3
40.547006,-73.837947,3
40.547006,-73.81384,3
40.547006,-73.705358,3
40.547006,-73.693304,3
40.547006,-73.681251,3
40.547006,-73.669197,3
40.547006,-73.657143,3
40.547006,-73.64509,3
40.547006,-73.633036,3
40.547006,-73.620983,3
40.55657,-74.175448,3
40.55657,-74.151341,3
40.55657,-74.127234,3
40.55657,-74.091073,3
40.55657,-73.934376,3
40.55657,-73.922323,3
40.55657,-73.910269,3
40.55657,-73.837947,3
40.55657,-73.825894,3
40.55657,-73.705358,3
40.55657,-73.693304,3
40.55657,-73.681251,3
40.55657,-73.669197,3
40.55657,-73.657143,3
40.55657,-73.64509,3
