lat,lon,type
40.499186,-73.958483,4
40.499186,-73.765626,4
40.499186,-73.753572,4
40.499186,-73.741519,4
40.50875,-74.211609,4
40.50875,-73.765626,4
40.50875,-73.753572,4
40.50875,-73.741519,4
40.518314,-74.211609,4
40.518314,-73.958483,4
40.518314,-73.765626,4
40.518314,-73.753572,4
40.518314,-73.741519,4
40.527878,-74.211609,4
40.527878,-74.199555,4
40.527878,-73.970537,4
40.527878,-73.958483,4
40.527878,-73.765626,4
40.527878,-73.753572,4
40.527878,-73.741519,4
40.537442,-74.199555,4
40.537442,-73.970537,4
40.537442,-73.958483,4
40.537442,-73.765626,4
40.537442,-73.753572,4
40.537442,-73.741519,4
40.547006,-73.970537,4
40.547006,-73.958483,4
40.547006,-73.94643,4
40.547006,-73.765626,4
40.547006,-73.753572,4
40.547006,-73.741519,4
40.55657,-73.970537,4
40.55657,-73.958483,4
40.55657,-73.94643,4
40.55657,-73.765626,4
40.55657,-73.753572,4
40.566134,-73.982591,4
40.566134,-73.970537,4
40.566134,-73.958483,4
40.566134,-73.765626,4
40.575698,-73.982591,4
40.575698,-73.970537,4
40.575698,-73.958483,4
40.575698,-73.765626,4
40.575698,-73.753572,4
40.585262,-73.994644,4
40.585262,-73.982591,4
40.585262,-73.970537,4
40.585262,-73.777679,4
40.585262,-73.765626,4
40.585262,-73.753572,4
40.594826,-73.777679,4
40.594826,-73.765626,4
40.60439,-73.777679,4
40.60439,-73.765626,4
40.613954,-74.054912,4
40.613954,-74.042859,4
40.613954,-73.777679,4
40.613954,-73.765626,4
40.623518,-74.127234,4
40.623518,-74.091073,4
40.623518,-74.054912,4
40.623518,-74.042859,4
40.623518,-73.777679,4
40.633082,-74.103127,4
40.633082,-74.091073,4
40.633082,-74.066966,4
40.633082,-74.018751,4
40.633082,-73.958483,4
40.642646,-74.091073,4
40.642646,-74.006698,4
40.65221,-74.091073,4
40.65221,-73.958483,4
40.65221,-73.874108,4
40.65221,-73.862055,4
40.661774,-74.091073,4
40.661774,-74.018751,4
40.661774,-73.898215,4
40.661774,-73.874108,4
40.661774,-73.862055,4
40.671338,-74.091073,4
40.671338,-74.079019,4
40.671338,-73.898215,4
40.671338,-73.886162,4
40.671338,-73.874108,4
40.671338,-73.862055,4
40.680902,-74.079019,4
40.680902,-73.898215,4
40.680902,-73.886162,4
40.680902,-73.874108,4
40.690466,-74.079019,4
40.690466,-73.801787,4
40.70003,-73.922323,4
40.70003,-73.801787,4
40.70003,-73.789733,4
40.709594,-73.777679,4
40.709594,-73.765626,4
40.728722,-73.970537,4
40.738286,-73.970537,4
40.747849,-73.886162,4
40.757413,-73.958483,4
40.766977,-73.970537,4
40.766977,-73.958483,4
40.766977,-73.94643,4
40.776541,-73.970537,4
40.776541,-73.958483,4
40.776541,-73.94643,4
40.786105,-73.958483,4
40.795669,-73.958483,4
40.795669,-73.94643,4
40.805233,-73.898215,4
40.805233,-73.862055,4
40.805233,-73.850001,4
40.814797,-73.970537,4
40.814797,-73.958483,4
40.814797,-73.94643,4
40.814797,-73.910269,4
40.814797,-73.874108,4
40.814797,-73.862055,4
40.814797,-73.850001,4
40.814797,-73.837947,4
40.824361,-73.934376,4
40.824361,-73.910269,4
40.824361,-73.874108,4
40.824361,-73.862055,4
40.824361,-73.850001,4
40.833925,-73.94643,4
40.833925,-73.934376,4
40.833925,-73.886162,4
40.833925,-73.862055,4
40.843489,-73.94643,4
40.843489,-73.934376,4
40.843489,-73.898215,4
40.853053,-73.94643,4
40.853053,-73.934376,4
40.853053,-73.922323,4
40.853053,-73.910269,4
40.853053,-73.898215,4
40.862617,-73.970537,4
40.862617,-73.958483,4
40.862617,-73.94643,4
40.862617,-73.934376,4
40.862617,-73.922323,4
40.862617,-73.898215,4
40.872181,-73.982591,4
40.872181,-73.970537,4
40.872181,-73.958483,4
40.872181,-73.94643,4
40.872181,-73.934376,4
40.872181,-73.922323,4
40.872181,-73.910269,4
40.872181,-73.898215,4
40.881745,-73.994644,4
40.881745,-73.982591,4
40.881745,-73.970537,4
40.881745,-73.958483,4
40.881745,-73.94643,4
40.881745,-73.934376,4
40.881745,-73.922323,4
40.881745,-73.898215,4
40.881745,-73.886162,4
40.891309,-74.006698,4
40.891309,-73.994644,4
40.891309,-73.982591,4
40.891309,-73.970537,4
40.891309,-73.958483,4
40.891309,-73.94643,4
40.891309,-73.922323,4
40.891309,-73.910269,4
40.891309,-73.898215,4
40.891309,-73.886162,4
40.900873,-74.018751,4
40.900873,-74.006698,4
40.900873,-73.994644,4
40.900873,-73.982591,4
40.900873,-73.970537,4
40.900873,-73.958483,4
40.900873,-73.922323,4
40.900873,-73.898215,4
40.910437,-74.042859,4
40.910437,-74.030805,4
40.910437,-74.018751,4
40.910437,-74.006698,4
40.910437,-73.994644,4
40.910437,-73.982591,4
40.910437,-73.970537,4
40.910437,-73.934376,4
40.920001,-74.054912,4
40.920001,-74.042859,4
40.920001,-74.030805,4
40.920001,-74.018751,4
40.920001,-74.006698,4
40.920001,-73.994644,4
40.920001,-73.982591,4
40.929565,-74.079019,4
40.929565,-74.066966,4
40.929565,-74.054912,4
40.929565,-74.042859,4
40.929565,-74.030805,4
40.929565,-74.018751,4
40.929565,-74.006698,4
40.929565,-73.994644,4
40.939129,-74.091073,4
40.939129,-74.079019,4
40.939129,-74.066966,4
40.939129,-74.054912,4
40.939129,-74.042859,4
40.939129,-74.030805,4
40.939129,-74.018751,4
40.939129,-74.006698,4
40.948693,-74.11518,4
40.948693,-74.103127,4
40.948693,-74.091073,4
40.948693,-74.079019,4
40.948693,-74.066966,4
40.948693,-74.054912,4
40.948693,-74.042859,4
40.948693,-74.030805,4
40.948693,-74.018751,4
40.958257,-74.127234,4
40.958257,-74.11518,4
40.958257,-74.103127,4
40.958257,-74.091073,4
40.958257,-74.079019,4
40.958257,-74.066966,4
40.958257,-74.054912,4
40.958257,-74.042859,4
40.958257,-74.030805,4
40.967821,-74.139287,4
40.967821,-74.127234,4
40.967821,-74.11518,4
40.967821,-74.103127,4
40.967821,-74.091073,4
40.967821,-74.079019,4
40.967821,-74.066966,4
40.967821,-74.054912,4
40.967821,-74.042859,4
