fatigued30,lat,lon
fatigued30, 40.623518, -73.862055 
fatigued30, 40.623518, -73.850001 
fatigued30, 40.623518, -73.837947 
fatigued30, 40.623518, -73.825894 
fatigued30, 40.623518, -73.813840 
fatigued30, 40.623518, -73.801787 
fatigued30, 40.633082, -74.211609 
fatigued30, 40.633082, -74.199555 
fatigued30, 40.633082, -74.187502 
fatigued30, 40.633082, -74.175448 
fatigued30, 40.633082, -74.163395 
fatigued30, 40.633082, -73.970537 
fatigued30, 40.633082, -73.910269 
fatigued30, 40.633082, -73.886162 
fatigued30, 40.633082, -73.874108 
fatigued30, 40.633082, -73.862055 
fatigued30, 40.633082, -73.825894 
fatigued30, 40.633082, -73.813840 
fatigued30, 40.633082, -73.801787 
fatigued30, 40.633082, -73.789733 
fatigued30, 40.633082, -73.777679 
fatigued30, 40.633082, -73.765626 
fatigued30, 40.633082, -73.753572 
fatigued30, 40.642646, -74.211609 
fatigued30, 40.642646, -74.199555 
fatigued30, 40.642646, -74.187502 
fatigued30, 40.642646, -74.175448 
fatigued30, 40.642646, -74.163395 
fatigued30, 40.642646, -73.874108 
fatigued30, 40.642646, -73.862055 
fatigued30, 40.642646, -73.801787 
fatigued30, 40.642646, -73.789733 
fatigued30, 40.642646, -73.777679 
fatigued30, 40.642646, -73.765626 
fatigued30, 40.642646, -73.753572 
fatigued30, 40.652210, -74.211609 
fatigued30, 40.652210, -74.199555 
fatigued30, 40.652210, -74.187502 
fatigued30, 40.652210, -74.175448 
fatigued30, 40.652210, -74.163395 
fatigued30, 40.652210, -73.946430 
fatigued30, 40.652210, -73.922323 
fatigued30, 40.652210, -73.813840 
fatigued30, 40.652210, -73.801787 
fatigued30, 40.652210, -73.789733 
fatigued30, 40.652210, -73.777679 
fatigued30, 40.652210, -73.765626 
fatigued30, 40.661774, -74.211609 
fatigued30, 40.661774, -74.199555 
fatigued30, 40.661774, -74.187502 
fatigued30, 40.661774, -74.175448 
fatigued30, 40.661774, -73.994644 
fatigued30, 40.661774, -73.970537 
fatigued30, 40.661774, -73.813840 
fatigued30, 40.661774, -73.801787 
fatigued30, 40.661774, -73.789733 
fatigued30, 40.661774, -73.777679 
fatigued30, 40.661774, -73.633036 
fatigued30, 40.661774, -73.620983 
fatigued30, 40.671338, -74.211609 
fatigued30, 40.671338, -74.199555 
fatigued30, 40.671338, -74.187502 
fatigued30, 40.671338, -74.175448 
fatigued30, 40.671338, -73.934376 
fatigued30, 40.671338, -73.837947 
fatigued30, 40.671338, -73.705358 
fatigued30, 40.671338, -73.693304 
fatigued30, 40.671338, -73.681251 
fatigued30, 40.671338, -73.669197 
fatigued30, 40.671338, -73.657143 
fatigued30, 40.671338, -73.645090 
fatigued30, 40.671338, -73.633036 
fatigued30, 40.671338, -73.620983 
fatigued30, 40.680902, -74.211609 
fatigued30, 40.680902, -74.199555 
fatigued30, 40.680902, -74.187502 
fatigued30, 40.680902, -74.175448 
fatigued30, 40.680902, -74.006698 
fatigued30, 40.680902, -73.729465 
fatigued30, 40.680902, -73.717411 
fatigued30, 40.680902, -73.705358 
fatigued30, 40.680902, -73.693304 
fatigued30, 40.680902, -73.681251 
fatigued30, 40.680902, -73.669197 
fatigued30, 40.680902, -73.657143 
fatigued30, 40.680902, -73.645090 
fatigued30, 40.690466, -74.211609 
fatigued30, 40.690466, -74.199555 
fatigued30, 40.690466, -74.187502 
fatigued30, 40.690466, -74.175448 
fatigued30, 40.690466, -74.042859 
fatigued30, 40.690466, -74.006698 
fatigued30, 40.690466, -73.994644 
fatigued30, 40.690466, -73.970537 
fatigued30, 40.690466, -73.910269 
fatigued30, 40.690466, -73.886162 
fatigued30, 40.690466, -73.729465 
fatigued30, 40.690466, -73.717411 
fatigued30, 40.690466, -73.705358 
fatigued30, 40.690466, -73.693304 
fatigued30, 40.690466, -73.681251 
fatigued30, 40.690466, -73.669197 
fatigued30, 40.700030, -74.211609 
fatigued30, 40.700030, -74.199555 
fatigued30, 40.700030, -74.187502 
fatigued30, 40.700030, -74.175448 
fatigued30, 40.700030, -73.994644 
fatigued30, 40.700030, -73.982591 
fatigued30, 40.700030, -73.934376 
fatigued30, 40.700030, -73.874108 
fatigued30, 40.700030, -73.729465 
fatigued30, 40.700030, -73.717411 
fatigued30, 40.700030, -73.705358 
fatigued30, 40.700030, -73.693304 
fatigued30, 40.709594, -74.211609 
fatigued30, 40.709594, -74.199555 
fatigued30, 40.709594, -74.187502 
fatigued30, 40.709594, -73.958483 
fatigued30, 40.709594, -73.862055 
fatigued30, 40.709594, -73.729465 
fatigued30, 40.709594, -73.717411 
fatigued30, 40.709594, -73.705358 
fatigued30, 40.719158, -74.211609 
fatigued30, 40.719158, -74.199555 
fatigued30, 40.719158, -74.187502 
fatigued30, 40.719158, -74.175448 
fatigued30, 40.719158, -73.994644 
fatigued30, 40.719158, -73.970537 
fatigued30, 40.719158, -73.898215 
fatigued30, 40.719158, -73.862055 
fatigued30, 40.719158, -73.837947 
fatigued30, 40.719158, -73.789733 
fatigued30, 40.719158, -73.777679 
fatigued30, 40.728722, -74.211609 
fatigued30, 40.728722, -74.199555 
fatigued30, 40.728722, -74.187502 
fatigued30, 40.728722, -74.030805 
fatigued30, 40.728722, -74.018751 
fatigued30, 40.728722, -73.934376 
fatigued30, 40.728722, -73.922323 
fatigued30, 40.728722, -73.910269 
fatigued30, 40.728722, -73.874108 
fatigued30, 40.728722, -73.850001 
fatigued30, 40.728722, -73.837947 
fatigued30, 40.728722, -73.765626 
fatigued30, 40.728722, -73.753572 
fatigued30, 40.738286, -74.211609 
fatigued30, 40.738286, -74.199555 
fatigued30, 40.738286, -74.187502 
fatigued30, 40.738286, -74.066966 
fatigued30, 40.738286, -74.054912 
fatigued30, 40.738286, -74.042859 
fatigued30, 40.738286, -74.030805 
fatigued30, 40.738286, -74.018751 
fatigued30, 40.738286, -73.946430 
fatigued30, 40.738286, -73.934376 
fatigued30, 40.738286, -73.922323 
fatigued30, 40.738286, -73.910269 
fatigued30, 40.738286, -73.862055 
fatigued30, 40.738286, -73.850001 
fatigued30, 40.738286, -73.837947 
fatigued30, 40.738286, -73.825894 
fatigued30, 40.738286, -73.813840 
fatigued30, 40.738286, -73.801787 
fatigued30, 40.738286, -73.789733 
fatigued30, 40.738286, -73.777679 
fatigued30, 40.738286, -73.741519 
fatigued30, 40.738286, -73.729465 
fatigued30, 40.747849, -74.211609 
fatigued30, 40.747849, -74.199555 
fatigued30, 40.747849, -74.103127 
fatigued30, 40.747849, -74.091073 
fatigued30, 40.747849, -74.079019 
fatigued30, 40.747849, -74.066966 
fatigued30, 40.747849, -74.054912 
fatigued30, 40.747849, -74.042859 
fatigued30, 40.747849, -74.030805 
fatigued30, 40.747849, -74.018751 
fatigued30, 40.747849, -74.006698 
