name,lat,lon
otherVehicle, 40.881745, -73.922323 
otherVehicle, 40.881745, -73.898215 
otherVehicle, 40.881745, -73.886162 
otherVehicle, 40.891309, -74.006698 
otherVehicle, 40.891309, -73.994644 
otherVehicle, 40.891309, -73.982591 
otherVehicle, 40.891309, -73.970537 
otherVehicle, 40.891309, -73.958483 
otherVehicle, 40.891309, -73.946430 
otherVehicle, 40.891309, -73.922323 
otherVehicle, 40.891309, -73.910269 
otherVehicle, 40.891309, -73.898215 
otherVehicle, 40.891309, -73.886162 
otherVehicle, 40.900873, -74.018751 
otherVehicle, 40.900873, -74.006698 
otherVehicle, 40.900873, -73.994644 
otherVehicle, 40.900873, -73.982591 
otherVehicle, 40.900873, -73.970537 
otherVehicle, 40.900873, -73.958483 
otherVehicle, 40.900873, -73.922323 
otherVehicle, 40.900873, -73.898215 
otherVehicle, 40.910437, -74.042859 
otherVehicle, 40.910437, -74.030805 
otherVehicle, 40.910437, -74.018751 
otherVehicle, 40.910437, -74.006698 
otherVehicle, 40.910437, -73.994644 
otherVehicle, 40.910437, -73.982591 
otherVehicle, 40.910437, -73.970537 
otherVehicle, 40.910437, -73.934376 
otherVehicle, 40.920001, -74.054912 
otherVehicle, 40.920001, -74.042859 
otherVehicle, 40.920001, -74.030805 
otherVehicle, 40.920001, -74.018751 
otherVehicle, 40.920001, -74.006698 
otherVehicle, 40.920001, -73.994644 
otherVehicle, 40.920001, -73.982591 
otherVehicle, 40.929565, -74.079019 
otherVehicle, 40.929565, -74.066966 
otherVehicle, 40.929565, -74.054912 
otherVehicle, 40.929565, -74.042859 
otherVehicle, 40.929565, -74.030805 
otherVehicle, 40.929565, -74.018751 
otherVehicle, 40.929565, -74.006698 
otherVehicle, 40.929565, -73.994644 
otherVehicle, 40.939129, -74.091073 
otherVehicle, 40.939129, -74.079019 
otherVehicle, 40.939129, -74.066966 
otherVehicle, 40.939129, -74.054912 
otherVehicle, 40.939129, -74.042859 
otherVehicle, 40.939129, -74.030805 
otherVehicle, 40.939129, -74.018751 
otherVehicle, 40.939129, -74.006698 
otherVehicle, 40.948693, -74.115180 
otherVehicle, 40.948693, -74.103127 
otherVehicle, 40.948693, -74.091073 
otherVehicle, 40.948693, -74.079019 
otherVehicle, 40.948693, -74.066966 
otherVehicle, 40.948693, -74.054912 
otherVehicle, 40.948693, -74.042859 
otherVehicle, 40.948693, -74.030805 
otherVehicle, 40.948693, -74.018751 
otherVehicle, 40.958257, -74.127234 
otherVehicle, 40.958257, -74.115180 
otherVehicle, 40.958257, -74.103127 
otherVehicle, 40.958257, -74.091073 
otherVehicle, 40.958257, -74.079019 
otherVehicle, 40.958257, -74.066966 
otherVehicle, 40.958257, -74.054912 
otherVehicle, 40.958257, -74.042859 
otherVehicle, 40.958257, -74.030805 
otherVehicle, 40.967821, -74.139287 
otherVehicle, 40.967821, -74.127234 
otherVehicle, 40.967821, -74.115180 
otherVehicle, 40.967821, -74.103127 
otherVehicle, 40.967821, -74.091073 
otherVehicle, 40.967821, -74.079019 
otherVehicle, 40.967821, -74.066966 
otherVehicle, 40.967821, -74.054912 
otherVehicle, 40.967821, -74.042859 
